county_fips,state_abbr,county_name,poverty_pct,data_value
05143,AR,Washington,14.8,10.7
01111,AL,Randolph,18.4,16.1
05001,AR,Arkansas,14.7,12.1
06045,CA,Mendocino,15.2,10.4
05133,AR,Sevier,19.6,13.7
05121,AR,Randolph,21.1,14.7
01089,AL,Madison,10.5,12.1
01013,AL,Butler,21,15.2
06007,CA,Butte,18.3,9.9
01129,AL,Washington,18.4,13.3
05075,AR,Lawrence,18.2,12
06041,CA,Marin,7.8,7.5
05021,AR,Clay,17.2,14.1
01097,AL,Mobile,16.3,16.1
06007,CA,Butte,18.3,10.7
06019,CA,Fresno,18.7,12.4
01017,AL,Chambers,15.5,14.5
02130,AK,Ketchikan Gateway,9.5,8.6
05143,AR,Washington,14.8,10.1
01003,AL,Baldwin,10.5,10.4
06045,CA,Mendocino,15.2,13.7
01111,AL,Randolph,18.4,12.7
02198,AK,Prince of Wales-Hyder,15.1,11
05043,AR,Drew,22.7,15.2
05009,AR,Boone,13.4,13.1
05033,AR,Crawford,16.8,10.9
02158,AK,Kusilvak,31.2,16.5
04019,AZ,Pima,14.4,9.5
02068,AK,Denali,6.6,7.7
06071,CA,San Bernardino,13.6,11.8
02110,AK,Juneau,8.2,7.8
01037,AL,Coosa,11.6,18.6
06027,CA,Inyo,10.5,12.4
06005,CA,Amador,7.8,11.8
01055,AL,Etowah,17.1,16.3
06069,CA,San Benito,7.8,10.5
05037,AR,Cross,20.1,13.4
05133,AR,Sevier,19.6,15.2
05071,AR,Johnson,19.4,12.4
01033,AL,Colbert,16.9,12.1
06047,CA,Merced,18.4,13.3
01127,AL,Walker,18,12.2
01107,AL,Pickens,22.6,18
05053,AR,Grant,12.3,9.8
05105,AR,Perry,15.6,14.1
04015,AZ,Mohave,16.8,14.2
06035,CA,Lassen,13.7,11.5
01041,AL,Crenshaw,16.2,16.6
02130,AK,Ketchikan Gateway,9.5,10.1
05135,AR,Sharp,17.3,11.7
06013,CA,Contra Costa,8.3,11.3
05019,AR,Clark,20.2,12.9
05097,AR,Montgomery,20.8,11.4
02063,AK,Chugach,4.8,9.6
02090,AK,Fairbanks North Star,6.2,7.9
05039,AR,Dallas,11.2,17.1
01011,AL,Bullock,25.7,21.3
06039,CA,Madera,19.9,12.8
01049,AL,DeKalb,20.4,13.3
05139,AR,Union,19.4,13
05049,AR,Fulton,14.8,12.4
04007,AZ,Gila,17.8,15
01093,AL,Marion,16.8,15.5
04003,AZ,Cochise,15.5,10.6
05087,AR,Madison,15,11.3
05001,AR,Arkansas,14.7,15.2
05065,AR,Izard,21.1,12
06025,CA,Imperial,19.6,14.6
02195,AK,Petersburg,5.7,8.5
02185,AK,North Slope,8.3,11
01085,AL,Lowndes,29.6,24.1
01099,AL,Monroe,22.6,19.7
04027,AZ,Yuma,16.5,12.9
02230,AK,Skagway,6.2,9.1
05023,AR,Cleburne,13.8,15.1
05123,AR,St. Francis,27.8,18.9
01053,AL,Escambia,21.2,15.6
05089,AR,Marion,17.8,16.4
05115,AR,Pope,17.6,11.4
05123,AR,St. Francis,27.8,16.6
04013,AZ,Maricopa,11.3,10.6
01031,AL,Coffee,17.6,14.8
01101,AL,Montgomery,19.3,16.4
02150,AK,Kodiak Island,7.7,9.3
01115,AL,St. Clair,11.2,13
01067,AL,Henry,15.8,12.8
01105,AL,Perry,31.2,20.5
05069,AR,Jefferson,20.6,17.6
01109,AL,Pike,23.4,14.6
06059,CA,Orange,9.5,11.5
01015,AL,Calhoun,17.5,14.8
05075,AR,Lawrence,18.2,14.4
06057,CA,Nevada,10.6,11.5
01001,AL,Autauga,10.7,11.4
05007,AR,Benton,7.6,10.3
06067,CA,Sacramento,12.6,11.2
05129,AR,Searcy,24.5,12.5
02070,AK,Dillingham,16.3,13
02164,AK,Lake and Peninsula,15.2,14.6
02275,AK,Wrangell,10.9,12.9
06017,CA,El Dorado,8.3,8
05017,AR,Chicot,24.4,16.1
02016,AK,Aleutians West,9.2,10.8
06031,CA,Kings,16.8,12.9
04009,AZ,Graham,17.7,11.4
01119,AL,Sumter,28.1,18.2
05085,AR,Lonoke,11.1,10.1
01075,AL,Lamar,15.1,12.9
05059,AR,Hot Spring,17.1,13.9
05051,AR,Garland,16.5,11.1
02105,AK,Hoonah-Angoon,12.6,10.4
05055,AR,Greene,17,11
05013,AR,Calhoun,13.3,11.3
01133,AL,Winston,19.5,16.5
01063,AL,Greene,35.9,21.1
04005,AZ,Coconino,17.7,9.3
01123,AL,Tallapoosa,15.2,12.7
01047,AL,Dallas,29,22.4
01021,AL,Chilton,13.6,14.1
05021,AR,Clay,17.2,11.1
06005,CA,Amador,7.8,8.6
01119,AL,Sumter,28.1,19.7
05085,AR,Lonoke,11.1,11.3
05091,AR,Miller,21,15.3
01097,AL,Mobile,16.3,14.1
06057,CA,Nevada,10.6,8
01063,AL,Greene,35.9,27.1
01067,AL,Henry,15.8,16.7
06067,CA,Sacramento,12.6,10.3
02195,AK,Petersburg,5.7,10.5
05079,AR,Lincoln,17.7,13.8
01045,AL,Dale,18.7,13.7
02150,AK,Kodiak Island,7.7,9.8
06061,CA,Placer,6.7,9.8
02066,AK,Copper River,11.4,11.4
01001,AL,Autauga,10.7,13.3
06003,CA,Alpine,12.3,11.6
01035,AL,Conecuh,27.6,22.1
01101,AL,Montgomery,19.3,14.8
05005,AR,Baxter,14.5,15
05071,AR,Johnson,19.4,14.6
01061,AL,Geneva,19.1,13
04017,AZ,Navajo,24.7,12.3
05041,AR,Desha,28.9,21.2
06059,CA,Orange,9.5,10.1
04017,AZ,Navajo,24.7,15.1
05003,AR,Ashley,22.7,14.2
05027,AR,Columbia,22.7,14.4
06025,CA,Imperial,19.6,15
01105,AL,Perry,31.2,24.6
01053,AL,Escambia,21.2,18.5
01115,AL,St. Clair,11.2,10.9
05023,AR,Cleburne,13.8,10.7
01095,AL,Marshall,16.3,14.5
05117,AR,Prairie,9.4,11.3
01113,AL,Russell,22.2,15.3
05011,AR,Bradley,20.1,14.3
01023,AL,Choctaw,19.5,15
05137,AR,Stone,21.6,17
05131,AR,Sebastian,16.3,13.1
01015,AL,Calhoun,17.5,12.9
02170,AK,Matanuska-Susitna,10.3,9
06051,CA,Mono,11,8.9
05093,AR,Mississippi,21,15.2
06065,CA,Riverside,11.1,12.4
02122,AK,Kenai Peninsula,11.6,7.9
05137,AR,Stone,21.6,12
02105,AK,Hoonah-Angoon,12.6,14.8
01127,AL,Walker,18,15.1
05007,AR,Benton,7.6,9.8
05145,AR,White,16.4,12.6
06047,CA,Merced,18.4,13
05087,AR,Madison,15,13.9
01051,AL,Elmore,10.3,11.4
01073,AL,Jefferson,16.3,15.1
05067,AR,Jackson,21.2,13.7
05049,AR,Fulton,14.8,17.1
02090,AK,Fairbanks North Star,6.2,8.3
02020,AK,Anchorage,9.3,8.8
06063,CA,Plumas,10.7,13.5
05015,AR,Carroll,16.3,15
05035,AR,Crittenden,20.7,16.5
02013,AK,Aleutians East,12.4,12.8
04013,AZ,Maricopa,11.3,9.6
05149,AR,Yell,13.3,14.7
02180,AK,Nome,21.1,13
02240,AK,Southeast Fairbanks,13.3,10.2
02063,AK,Chugach,4.8,8
06063,CA,Plumas,10.7,9
01057,AL,Fayette,18.7,16.6
05097,AR,Montgomery,20.8,16.4
05059,AR,Hot Spring,17.1,11.6
06033,CA,Lake,16.7,14.1
01037,AL,Coosa,11.6,13.5
05135,AR,Sharp,17.3,16.2
05025,AR,Cleveland,15.6,11.6
05029,AR,Conway,20.6,12.4
05141,AR,Van Buren,19.5,11.5
05115,AR,Pope,17.6,12.7
02020,AK,Anchorage,9.3,8.9
05077,AR,Lee,27.7,19.7
01121,AL,Talladega,17.7,14.2
01055,AL,Etowah,17.1,13.4
04001,AZ,Apache,31.2,17.5
